threshold,tp,tn,fp,fn,n,positives,negatives,flagged,passed,recall,specificity,fpr,fnr,precision,npv,accuracy,f1,recall_lo,recall_hi,fpr_lo,fpr_hi
0.7674247530835944,50,691,161,4,906,54,852,211,695,0.9259259259259259,0.8110328638497653,0.18896713615023475,0.07407407407407407,0.23696682464454977,0.9942446043165467,0.8178807947019867,0.37735849056603776,0.8292508710801393,1.0,0.16589285910645363,0.21386124456646077
0.7683697930319712,50,692,160,4,906,54,852,210,696,0.9259259259259259,0.812206572769953,0.18779342723004694,0.07407407407407407,0.23809523809523808,0.9942528735632183,0.8189845474613686,0.3787878787878788,0.8292508710801393,1.0,0.16511600675344482,0.21251475796930341
0.7699063951249359,50,693,159,4,906,54,852,209,697,0.9259259259259259,0.8133802816901409,0.18661971830985916,0.07407407407407407,0.23923444976076555,0.994261119081779,0.8200883002207505,0.38022813688212925,0.8292508710801393,1.0,0.16257237617010725,0.21190573770491802
0.7703759097631921,50,694,158,4,906,54,852,208,698,0.9259259259259259,0.8145539906103286,0.18544600938967137,0.07407407407407407,0.2403846153846154,0.994269340974212,0.8211920529801324,0.3816793893129771,0.8292508710801393,1.0,0.16162521405291938,0.21058827068733632
0.7715563369437306,50,695,157,4,906,54,852,207,699,0.9259259259259259,0.8157276995305164,0.18427230046948356,0.07407407407407407,0.24154589371980675,0.994277539341917,0.8222958057395143,0.3831417624521073,0.8292508710801393,1.0,0.15990730011587487,0.2099647224446995
0.7726602588663597,50,696,156,4,906,54,852,206,700,0.9259259259259259,0.8169014084507042,0.18309859154929578,0.07407407407407407,0.24271844660194175,0.9942857142857143,0.8233995584988962,0.38461538461538464,0.8292508710801393,1.0,0.15725908482659118,0.20972039032459983
0.7728365384615384,50,696,156,4,906,54,852,206,700,0.9259259259259259,0.8169014084507042,0.18309859154929578,0.07407407407407407,0.24271844660194175,0.9942857142857143,0.8233995584988962,0.38461538461538464,0.8292508710801393,1.0,0.15725908482659118,0.20972039032459983
0.7730579745901348,50,698,154,4,906,54,852,204,702,0.9259259259259259,0.8192488262910798,0.1807511737089202,0.07407407407407407,0.24509803921568626,0.9943019943019943,0.82560706401766,0.3875968992248062,0.8292508710801393,1.0,0.15502667852378835,0.20714368386243387
0.773736939011117,50,700,152,4,906,54,852,202,704,0.9259259259259259,0.8215962441314554,0.1784037558685446,0.07407407407407407,0.24752475247524752,0.9943181818181818,0.8278145695364238,0.390625,0.8292508710801393,1.0,0.1527430306368254,0.20454809725158563
0.7745803357314148,50,700,152,4,906,54,852,202,704,0.9259259259259259,0.8215962441314554,0.1784037558685446,0.07407407407407407,0.24752475247524752,0.9943181818181818,0.8278145695364238,0.390625,0.8292508710801393,1.0,0.1527430306368254,0.20454809725158563
0.7749432835657162,50,702,150,4,906,54,852,200,706,0.9259259259259259,0.823943661971831,0.176056338028169,0.07407407407407407,0.25,0.9943342776203966,0.8300220750551877,0.3937007874015748,0.8292508710801393,1.0,0.15022798939453813,0.20119065440547476
0.7781463996018949,50,703,149,4,906,54,852,199,707,0.9259259259259259,0.8251173708920188,0.17488262910798122,0.07407407407407407,0.25125628140703515,0.9943422913719944,0.8311258278145696,0.3952569169960474,0.8292508710801393,1.0,0.1484558178374138,0.20091405162084264
0.7805367812011218,50,704,148,4,906,54,852,198,708,0.9259259259259259,0.8262910798122066,0.17370892018779344,0.07407407407407407,0.25252525252525254,0.9943502824858758,0.8322295805739515,0.3968253968253968,0.8292508710801393,1.0,0.14719366414816867,0.2
0.7810262468171856,50,705,147,4,906,54,852,197,709,0.9259259259259259,0.8274647887323944,0.17253521126760563,0.07407407407407407,0.25380710659898476,0.9943582510578279,0.8333333333333334,0.398406374501992,0.8292508710801393,1.0,0.14602739438602572,0.1990630460823755
0.7831578692009645,50,706,146,4,906,54,852,196,710,0.9259259259259259,0.8286384976525821,0.17136150234741784,0.07407407407407407,0.25510204081632654,0.9943661971830986,0.8344370860927153,0.4,0.8292508710801393,1.0,0.14450420117990587,0.19855659676882503
0.7836784792755113,50,708,144,4,906,54,852,194,712,0.9259259259259259,0.8309859154929577,0.16901408450704225,0.07407407407407407,0.25773195876288657,0.9943820224719101,0.8366445916114791,0.4032258064516129,0.8292508710801393,1.0,0.1420380918403333,0.19552928083699053
0.7852834740651388,50,708,144,4,906,54,852,194,712,0.9259259259259259,0.8309859154929577,0.16901408450704225,0.07407407407407407,0.25773195876288657,0.9943820224719101,0.8366445916114791,0.4032258064516129,0.8292508710801393,1.0,0.1420380918403333,0.19552928083699053
